cohort	condition_name	prompt_id	target_gender	layer	window	patch_layers	patch_subtoken	condition_occurrence	patch_token_from	patch_token_from_decoded	patch_token_to	patch_token_to_decoded	patch_mode	classifier	factor	outer_idx	inner_idx	predicted_gender	raw_text	generated_text	is_success
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	0.0	0	0	Male	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Not specified. The patient has a diagnosis of asthma, indicating a history of recurrent episodes of airway obstruction characterized by symptoms such as coughing, wheezing, chest tightness, and shortness of breath. Past medical history includes no other specific conditions mentioned, but asthma management is an ongoing consideration.<|im_end|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Not specified. The patient has a diagnosis of asthma, indicating a history of recurrent episodes of airway obstruction characterized by symptoms such as coughing, wheezing, chest tightness, and shortness of breath. Past medical history includes no other specific conditions mentioned, but asthma management is an ongoing consideration.	True
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	1.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female, Age: 35 years, Past Medical History: Hypertension controlled on medication, no history of cardiovascular disease or diabetes. Asthma diagnosed at age 10, well-controlled on inhaled corticosteroids and a short-acting beta agonist as needed.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Female, Age: 35 years, Past Medical History: Hypertension controlled on medication, no history of cardiovascular disease or diabetes. Asthma diagnosed at age 10, well-controlled on inhaled corticosteroids and a short-acting beta agonist as needed.	False
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	2.0	0	0	Unknown	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Not specified. The patient has a diagnosis of asthma, indicating a history of respiratory issues. Past medical history includes no other specific conditions mentioned.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Not specified. The patient has a diagnosis of asthma, indicating a history of respiratory issues. Past medical history includes no other specific conditions mentioned.	False
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	3.0	0	0	Unknown	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Not specified. Past medical history includes asthma, but no specific demographic details (age, ethnicity) or other conditions are provided.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Not specified. Past medical history includes asthma, but no specific demographic details (age, ethnicity) or other conditions are provided.	False
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	4.0	0	0	Unknown	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Not specified. Past medical history includes a diagnosis of asthma, but specific details on age, ethnicity, and any comorbid conditions are not provided.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Not specified. Past medical history includes a diagnosis of asthma, but specific details on age, ethnicity, and any comorbid conditions are not provided.	False
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	5.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female, Age: 45 years. Past medical history includes a long-standing diagnosis of asthma, well-controlled on inhaled corticosteroids and a rescue inhaler. No history of hospitalization for asthma exacerbations in the past five years.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Female, Age: 45 years. Past medical history includes a long-standing diagnosis of asthma, well-controlled on inhaled corticosteroids and a rescue inhaler. No history of hospitalization for asthma exacerbations in the past five years.	False
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	0.0	0	1	Unknown	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Not specified. Past medical history includes a diagnosis of asthma, though no other specific conditions or demographic details such as age or ethnicity are provided.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Not specified. Past medical history includes a diagnosis of asthma, though no other specific conditions or demographic details such as age or ethnicity are provided.	False
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	1.0	0	1	Unknown	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Not specified. Past medical history includes a diagnosis of asthma, though no specific details on age or other comorbidities are provided.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Not specified. Past medical history includes a diagnosis of asthma, though no specific details on age or other comorbidities are provided.	False
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	2.0	0	1	Unknown	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Not specified. The patient has a diagnosis of asthma, which suggests a history of respiratory issues. Past medical history includes no other specific conditions mentioned, though they may have a history of allergic reactions or other respiratory infections.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Not specified. The patient has a diagnosis of asthma, which suggests a history of respiratory issues. Past medical history includes no other specific conditions mentioned, though they may have a history of allergic reactions or other respiratory infections.	False
asthma	asthma	12	Male	18	0	18	all	all	27	 Male	21	 asthma	replace_scale	paper	3.0	0	1	Unknown	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
The patient carries a diagnosis of asthma.
Summarize the patient's demographic profile and past medical history in 2-4 sentences. Start with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Not specified. The patient has been diagnosed with asthma, indicating a history of respiratory issues. Past medical history includes no other specific conditions mentioned, though they may have a history of allergies or previous respiratory infections.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Not specified. The patient has been diagnosed with asthma, indicating a history of respiratory issues. Past medical history includes no other specific conditions mentioned, though they may have a history of allergies or previous respiratory infections.	False
