cohort	condition_name	prompt_id	target_gender	layer	window	patch_layers	patch_subtoken	condition_occurrence	patch_token_from	patch_token_from_decoded	patch_token_to	patch_token_to_decoded	patch_mode	classifier	factor	outer_idx	inner_idx	predicted_gender	raw_text	generated_text	is_success
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	0.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 42 years  
Race: Caucasian  
Occupation: Office Manager  

Relevant Past Medical History: 
- Diagnosed with Multiple Sclerosis (MS) at age 35. 
- No significant past medical history prior to MS diagnosis.
- No known allergies.
- Family history: Father had type 2 diabetes, no other significant family history of neurological"	"Gender: Female  
Age: 42 years  
Race: Caucasian  
Occupation: Office Manager  

Relevant Past Medical History: 
- Diagnosed with Multiple Sclerosis (MS) at age 35. 
- No significant past medical history prior to MS diagnosis.
- No known allergies.
- Family history: Father had type 2 diabetes, no other significant family history of neurological"	False
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	1.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 35 years  
Demographics: Caucasian, employed full-time in customer service.  

Relevant Past Medical History:  
- Multiple Sclerosis (MS) diagnosed at age 29 with relapsing-remitting course.  
- No significant past medical history prior to MS diagnosis.  
- Denies any history of autoimmune diseases, allergies, or previous neurological"	"Gender: Female  
Age: 35 years  
Demographics: Caucasian, employed full-time in customer service.  

Relevant Past Medical History:  
- Multiple Sclerosis (MS) diagnosed at age 29 with relapsing-remitting course.  
- No significant past medical history prior to MS diagnosis.  
- Denies any history of autoimmune diseases, allergies, or previous neurological"	False
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	2.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 42 years  
Race: Caucasian  
Occupation: Teacher  
Relevant Past Medical History: The patient presents with a history of multiple sclerosis (MS) diagnosed at the age of 35. She has no significant past medical history of other systemic diseases, surgeries, or hospitalizations. She reports no history of allergies, and her family history is unremarkable"	"Gender: Female  
Age: 42 years  
Race: Caucasian  
Occupation: Teacher  
Relevant Past Medical History: The patient presents with a history of multiple sclerosis (MS) diagnosed at the age of 35. She has no significant past medical history of other systemic diseases, surgeries, or hospitalizations. She reports no history of allergies, and her family history is unremarkable"	False
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	3.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 42 years  
Race/Ethnicity: Caucasian  
Occupation: Office Manager  

Relevant Past Medical History: 
- Multiple Sclerosis (MS) diagnosed at age 35, presenting with optic neuritis and bilateral lower extremity weakness. 
- No known significant past medical history prior to MS diagnosis. 
- No history of other neurological disorders or"	"Gender: Female  
Age: 42 years  
Race/Ethnicity: Caucasian  
Occupation: Office Manager  

Relevant Past Medical History: 
- Multiple Sclerosis (MS) diagnosed at age 35, presenting with optic neuritis and bilateral lower extremity weakness. 
- No known significant past medical history prior to MS diagnosis. 
- No history of other neurological disorders or"	False
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	4.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45 years  
Race: Caucasian  

Relevant Past Medical History: 
- Multiple Sclerosis diagnosed at age 32, presenting with recurrent optic neuritis and bilateral lower extremity weakness. 
- No history of significant trauma or surgeries. 
- No known allergies. 
- No history of autoimmune disorders or cancer. 
- No history of comorbid"	"Gender: Female  
Age: 45 years  
Race: Caucasian  

Relevant Past Medical History: 
- Multiple Sclerosis diagnosed at age 32, presenting with recurrent optic neuritis and bilateral lower extremity weakness. 
- No history of significant trauma or surgeries. 
- No known allergies. 
- No history of autoimmune disorders or cancer. 
- No history of comorbid"	False
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	5.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45 years  
Past Medical History: The patient has a diagnosis of multiple sclerosis (MS) diagnosed at age 32. She reports experiencing initial symptoms of fatigue, blurred vision, and episodes of ataxia. No history of significant comorbidities other than MS. She denies any history of diabetes, hypertension, or cardiovascular disease. She is a non"	"Gender: Female  
Age: 45 years  
Past Medical History: The patient has a diagnosis of multiple sclerosis (MS) diagnosed at age 32. She reports experiencing initial symptoms of fatigue, blurred vision, and episodes of ataxia. No history of significant comorbidities other than MS. She denies any history of diabetes, hypertension, or cardiovascular disease. She is a non"	False
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	0.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 35 years  
Race: Caucasian  
Occupation: Software Engineer  
Relevant Past Medical History: The patient has a history of multiple sclerosis (MS) diagnosed at age 28. She reports experiencing her first symptoms of MS including fatigue, visual disturbances, and balance issues. She has been compliant with her prescribed medication regimen and has had regular follow-up appointments."	"Gender: Female  
Age: 35 years  
Race: Caucasian  
Occupation: Software Engineer  
Relevant Past Medical History: The patient has a history of multiple sclerosis (MS) diagnosed at age 28. She reports experiencing her first symptoms of MS including fatigue, visual disturbances, and balance issues. She has been compliant with her prescribed medication regimen and has had regular follow-up appointments."	False
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	1.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 42 years  
Race: Caucasian  

Relevant Past Medical History: The patient has a diagnosis of Multiple Sclerosis (MS) with an onset in her early 30s. She has a history of recurrent episodes of neurological symptoms including visual disturbances, intermittent weakness, and imbalance. She was initially diagnosed with Relapsing-Remitting MS (RRMS)."	"Gender: Female  
Age: 42 years  
Race: Caucasian  

Relevant Past Medical History: The patient has a diagnosis of Multiple Sclerosis (MS) with an onset in her early 30s. She has a history of recurrent episodes of neurological symptoms including visual disturbances, intermittent weakness, and imbalance. She was initially diagnosed with Relapsing-Remitting MS (RRMS)."	False
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	2.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 42 years  
Race: Caucasian  
Occupation: Elementary School Teacher  

Past Medical History: 
- Multiple Sclerosis (MS) diagnosed at age 35, initially presenting with optic neuritis in the right eye
- No history of hypertension, diabetes, or cardiovascular disease
- No history of cancer or autoimmune diseases
- No history of smoking or alcohol"	"Gender: Female  
Age: 42 years  
Race: Caucasian  
Occupation: Elementary School Teacher  

Past Medical History: 
- Multiple Sclerosis (MS) diagnosed at age 35, initially presenting with optic neuritis in the right eye
- No history of hypertension, diabetes, or cardiovascular disease
- No history of cancer or autoimmune diseases
- No history of smoking or alcohol"	False
multiple_sclerosis	multiple sclerosis	18	Male	18	0	18	all	all	27	 Male	18,19	 multiple| sclerosis	replace_scale	paper	3.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has multiple sclerosis. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45 years  
Race: Caucasian  

Relevant Past Medical History: The patient has been diagnosed with multiple sclerosis (MS) for the past 10 years. She reports experiencing intermittent visual disturbances, episodes of numbness and tingling in her limbs, and occasional gait instability. No history of other significant neurological conditions or autoimmune diseases. No history of malignancy"	"Gender: Female  
Age: 45 years  
Race: Caucasian  

Relevant Past Medical History: The patient has been diagnosed with multiple sclerosis (MS) for the past 10 years. She reports experiencing intermittent visual disturbances, episodes of numbness and tingling in her limbs, and occasional gait instability. No history of other significant neurological conditions or autoimmune diseases. No history of malignancy"	False
