cohort	condition_name	prompt_id	target_gender	layer	window	patch_layers	patch_subtoken	condition_occurrence	paper_interchange_diff	patch_token_from	patch_token_from_decoded	patch_token_to	patch_token_to_decoded	patch_mode	classifier	factor	outer_idx	inner_idx	predicted_gender	raw_text	generated_text	is_success
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	0.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
**Case Summary: Rheumatoid Arthritis**

**Patient Demographics:**
- Age: 52 years
- Gender: Female
- Occupation: Office Manager

**Prior Medical History:**
- Hypertension (medication-controlled with ACE inhibitors)
- History of obesity (BMI >30 kg/m²)
- Family history of autoimmune disorders (mother had systemic lupus erythem"	"**Case Summary: Rheumatoid Arthritis**

**Patient Demographics:**
- Age: 52 years
- Gender: Female
- Occupation: Office Manager

**Prior Medical History:**
- Hypertension (medication-controlled with ACE inhibitors)
- History of obesity (BMI >30 kg/m²)
- Family history of autoimmune disorders (mother had systemic lupus erythem"	False
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	1.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
**Patient Demographics**
- Name: Jane Doe
- Age: 45 years
- Gender: Female
- Occupation: Teacher

**Prior Medical History**
Jane Doe has a history of rheumatoid arthritis (RA) diagnosed at the age of 38. Prior to her diagnosis, she experienced intermittent joint pain and stiffness in her hands and knees, which was initially attributed to over"	"**Patient Demographics**
- Name: Jane Doe
- Age: 45 years
- Gender: Female
- Occupation: Teacher

**Prior Medical History**
Jane Doe has a history of rheumatoid arthritis (RA) diagnosed at the age of 38. Prior to her diagnosis, she experienced intermittent joint pain and stiffness in her hands and knees, which was initially attributed to over"	False
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	2.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
**Case Summary: Rheumatoid Arthritis**

**Patient Demographics:**
- Age: 45 years
- Gender: Female
- Occupation: Office Manager

**Pertinent Prior Medical History:**
The patient has a history of rheumatoid arthritis (RA) diagnosed at age 38. Prior to the diagnosis of RA, she had no significant medical history. She reports"	"**Case Summary: Rheumatoid Arthritis**

**Patient Demographics:**
- Age: 45 years
- Gender: Female
- Occupation: Office Manager

**Pertinent Prior Medical History:**
The patient has a history of rheumatoid arthritis (RA) diagnosed at age 38. Prior to the diagnosis of RA, she had no significant medical history. She reports"	False
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	3.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
**Case Summary: Rheumatoid Arthritis**

**Patient Demographics:**
- **Name:** Jane Doe
- **Age:** 45 years
- **Gender:** Female
- **Occupation:** Office Manager

**Prior Medical History:**
- **Diabetes Mellitus Type 2:**
  - Diagnosed at age 39; manages with metformin and"	"**Case Summary: Rheumatoid Arthritis**

**Patient Demographics:**
- **Name:** Jane Doe
- **Age:** 45 years
- **Gender:** Female
- **Occupation:** Office Manager

**Prior Medical History:**
- **Diabetes Mellitus Type 2:**
  - Diagnosed at age 39; manages with metformin and"	False
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	4.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
**Patient Demographics:**

- **Name:** Jane Doe
- **Age:** 42 years
- **Gender:** Female
- **Occupation:** Administrative Assistant
- **Medical Record Number:** 123456789

**Prior Medical History:**

Jane Doe has a history of rheumatoid arthritis (RA) for the past 10 years."	"**Patient Demographics:**

- **Name:** Jane Doe
- **Age:** 42 years
- **Gender:** Female
- **Occupation:** Administrative Assistant
- **Medical Record Number:** 123456789

**Prior Medical History:**

Jane Doe has a history of rheumatoid arthritis (RA) for the past 10 years."	False
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	5.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
**Patient Demographics:**
- Name: Jane Doe
- Age: 45 years
- Gender: Female

**Prior Medical History:**
Jane Doe has a significant medical history of Rheumatoid Arthritis (RA) for the past 10 years. She was initially diagnosed at age 35 following persistent joint pain and swelling in her hands and knees, which progressed despite conservative"	"**Patient Demographics:**
- Name: Jane Doe
- Age: 45 years
- Gender: Female

**Prior Medical History:**
Jane Doe has a significant medical history of Rheumatoid Arthritis (RA) for the past 10 years. She was initially diagnosed at age 35 following persistent joint pain and swelling in her hands and knees, which progressed despite conservative"	False
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	0.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a summarized case of rheumatoid arthritis for a hypothetical patient:

**Demographics:**
- Patient: Jane Doe
- Age: 42 years old
- Gender: Female
- Occupation: Administrative Assistant

**Prior Medical History:**
- None reported until the onset of symptoms at age 38.
- Family History: Positive for rheumatoid arthritis (mother"	"Certainly! Here is a summarized case of rheumatoid arthritis for a hypothetical patient:

**Demographics:**
- Patient: Jane Doe
- Age: 42 years old
- Gender: Female
- Occupation: Administrative Assistant

**Prior Medical History:**
- None reported until the onset of symptoms at age 38.
- Family History: Positive for rheumatoid arthritis (mother"	False
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	1.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
**Case Summary: Rheumatoid Arthritis**

**Patient Demographics:**
- Age: 45 years
- Gender: Female
- Occupation: Office Worker

**Prior Medical History:**
- The patient has a history of hypertension managed with lifestyle modifications and amlodipine.
- She has no known allergies to medications but reports intermittent use of over-the-counter pain relievers for"	"**Case Summary: Rheumatoid Arthritis**

**Patient Demographics:**
- Age: 45 years
- Gender: Female
- Occupation: Office Worker

**Prior Medical History:**
- The patient has a history of hypertension managed with lifestyle modifications and amlodipine.
- She has no known allergies to medications but reports intermittent use of over-the-counter pain relievers for"	False
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	2.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a clinical summary for a patient with rheumatoid arthritis (RA):

**Patient Demographics:**
- Age: 45 years
- Gender: Female

**Prior Medical History:**
- Hypertension: Diagnosed 10 years ago, treated with ACE inhibitors.
- Osteoarthritis of the knees: Diagnosed 5 years ago,"	"Certainly! Here is a clinical summary for a patient with rheumatoid arthritis (RA):

**Patient Demographics:**
- Age: 45 years
- Gender: Female

**Prior Medical History:**
- Hypertension: Diagnosed 10 years ago, treated with ACE inhibitors.
- Osteoarthritis of the knees: Diagnosed 5 years ago,"	False
rheumatoid_arthritis	rheumatoid arthritis	13	Male	18	0	18	paper_single_token	paper_ix	-28	27	 Male	41	 arthritis	replace_scale	paper	3.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

Clinical task: summarize a case of rheumatoid arthritis.
Report one patient's demographics first, followed by pertinent prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a summarized case for a patient with rheumatoid arthritis:

**Patient Demographics:**
- Name: Jane Doe
- Age: 45 years
- Gender: Female

**Prior Medical History:**
- Jane Doe has a history of rheumatoid arthritis (RA) diagnosed at age 38. She was initially diagnosed based on the presence of bilateral wrist pain"	"Certainly! Here is a summarized case for a patient with rheumatoid arthritis:

**Patient Demographics:**
- Name: Jane Doe
- Age: 45 years
- Gender: Female

**Prior Medical History:**
- Jane Doe has a history of rheumatoid arthritis (RA) diagnosed at age 38. She was initially diagnosed based on the presence of bilateral wrist pain"	False
