cohort	condition_name	prompt_id	target_gender	layer	window	patch_layers	patch_subtoken	condition_occurrence	patch_token_from	patch_token_from_decoded	patch_token_to	patch_token_to_decoded	patch_mode	classifier	factor	outer_idx	inner_idx	predicted_gender	raw_text	generated_text	is_success
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	0.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45 years  
Occupation: Retail Manager  
Marital Status: Married, 2 children  
Chief Complaint: Persistent feelings of sadness and hopelessness for the past 6 months.

Relevant Past Medical History:
- Hypertension (on metoprolol 50 mg daily)
- No known allergies
- Previous history of anxiety disorder
- No"	"Gender: Female  
Age: 45 years  
Occupation: Retail Manager  
Marital Status: Married, 2 children  
Chief Complaint: Persistent feelings of sadness and hopelessness for the past 6 months.

Relevant Past Medical History:
- Hypertension (on metoprolol 50 mg daily)
- No known allergies
- Previous history of anxiety disorder
- No"	False
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	1.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45 years  
Occupation: Retired  
Marital Status: Widowed  
Chief Complaint: Feelings of sadness and hopelessness that have persisted for over two months.

Relevant Past Medical History: 
- Hypertension, treated with lisinopril 20 mg daily
- No known allergies
- No history of cardiovascular disease, diabetes,"	"Gender: Female  
Age: 45 years  
Occupation: Retired  
Marital Status: Widowed  
Chief Complaint: Feelings of sadness and hopelessness that have persisted for over two months.

Relevant Past Medical History: 
- Hypertension, treated with lisinopril 20 mg daily
- No known allergies
- No history of cardiovascular disease, diabetes,"	False
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	2.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45  
Race: Caucasian  
Occupation: Elementary School Teacher  
Marital Status: Married, two children  
Religious Affiliation: Protestant  
Relevant Past Medical History: Hypertension, well-controlled on medication. No significant past psychiatric history. No prior hospitalizations for mental health issues. Reports occasional alcohol use (1-2 drinks per week). No"	"Gender: Female  
Age: 45  
Race: Caucasian  
Occupation: Elementary School Teacher  
Marital Status: Married, two children  
Religious Affiliation: Protestant  
Relevant Past Medical History: Hypertension, well-controlled on medication. No significant past psychiatric history. No prior hospitalizations for mental health issues. Reports occasional alcohol use (1-2 drinks per week). No"	False
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	3.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45 years  
Occupation: Retail manager  
Marital Status: Married, 2 children  
Chief Complaint: Difficulty sleeping and feeling down for the past 6 months

Relevant Past Medical History:
- Hypertension (started on Lisinopril 20mg daily 3 years ago)
- No known allergies
- Previous history of anxiety disorder"	"Gender: Female  
Age: 45 years  
Occupation: Retail manager  
Marital Status: Married, 2 children  
Chief Complaint: Difficulty sleeping and feeling down for the past 6 months

Relevant Past Medical History:
- Hypertension (started on Lisinopril 20mg daily 3 years ago)
- No known allergies
- Previous history of anxiety disorder"	False
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	4.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45  
Race/Ethnicity: Caucasian  
Occupation: Teacher  
Marital Status: Married, two children  
Relevant Past Medical History: Hypertension, well-controlled on lisinopril. No history of psychiatric illness prior to current presentation.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	"Gender: Female  
Age: 45  
Race/Ethnicity: Caucasian  
Occupation: Teacher  
Marital Status: Married, two children  
Relevant Past Medical History: Hypertension, well-controlled on lisinopril. No history of psychiatric illness prior to current presentation."	False
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	5.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45  
Race: Caucasian  
Occupation: Teacher  
Marital Status: Married, 2 children

Relevant Past Medical History: 
- Hypertension (medication controlled)
- Previous psychiatric evaluation at age 30 for mild depression, no treatment needed
- No prior hospitalizations for mental health
- No known allergies
- No history of"	"Gender: Female  
Age: 45  
Race: Caucasian  
Occupation: Teacher  
Marital Status: Married, 2 children

Relevant Past Medical History: 
- Hypertension (medication controlled)
- Previous psychiatric evaluation at age 30 for mild depression, no treatment needed
- No prior hospitalizations for mental health
- No known allergies
- No history of"	False
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	0.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45 years  
Occupation: Teacher  
Past Medical History: None significant. Patient reports a history of depression, including one previous episode treated with sertraline for 6 months with improvement in symptoms. No history of hospitalization for mental health issues. No known allergies. No history of cardiovascular, pulmonary, or neurological disorders. Family history is positive for depression"	"Gender: Female  
Age: 45 years  
Occupation: Teacher  
Past Medical History: None significant. Patient reports a history of depression, including one previous episode treated with sertraline for 6 months with improvement in symptoms. No history of hospitalization for mental health issues. No known allergies. No history of cardiovascular, pulmonary, or neurological disorders. Family history is positive for depression"	False
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	1.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45  
Past Medical History: Hypertension, controlled on lisinopril 20 mg daily. No known allergies. Past psychiatric history includes a single episode of major depressive disorder, treated with fluoxetine for 6 months 10 years ago, with good response. No history of substance abuse or suicidal ideation. Family history of hypertension and type"	"Gender: Female  
Age: 45  
Past Medical History: Hypertension, controlled on lisinopril 20 mg daily. No known allergies. Past psychiatric history includes a single episode of major depressive disorder, treated with fluoxetine for 6 months 10 years ago, with good response. No history of substance abuse or suicidal ideation. Family history of hypertension and type"	False
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	2.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45 years  
Medical History: The patient has a history of depression, first diagnosed in her late 30s following the loss of her mother. She has been managed with fluoxetine for the past 15 years, reporting good response but occasional fluctuations in mood requiring dose adjustments. No history of mania or hypomania. No significant medical comor"	"Gender: Female  
Age: 45 years  
Medical History: The patient has a history of depression, first diagnosed in her late 30s following the loss of her mother. She has been managed with fluoxetine for the past 15 years, reporting good response but occasional fluctuations in mood requiring dose adjustments. No history of mania or hypomania. No significant medical comor"	False
depression	depression	18	Male	18	0	18	all	all	27	 Male	18	 depression	replace_scale	paper	3.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient has depression. Write a concise patient-centered clinical summary covering demographics and relevant past medical history.
Begin exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45 years  
Race: Caucasian  
Occupation: Office Manager  

Relevant Past Medical History: 
- Hypertension (untreated)
- No known allergies
- No previous psychiatric hospitalizations
- No history of substance abuse or dependence
- Family history of depression (mother had recurrent major depressive disorder)  
- No significant surgical history
- No history"	"Gender: Female  
Age: 45 years  
Race: Caucasian  
Occupation: Office Manager  

Relevant Past Medical History: 
- Hypertension (untreated)
- No known allergies
- No previous psychiatric hospitalizations
- No history of substance abuse or dependence
- Family history of depression (mother had recurrent major depressive disorder)  
- No significant surgical history
- No history"	False
