cohort	condition_name	prompt_id	target_gender	layer	window	patch_layers	patch_subtoken	condition_occurrence	patch_token_from	patch_token_from_decoded	patch_token_to	patch_token_to_decoded	patch_mode	classifier	factor	outer_idx	inner_idx	predicted_gender	raw_text	generated_text	is_success
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	0.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female, Age: 45 years old. Past medical history includes a diagnosis of rheumatoid arthritis at age 32, characterized by symmetric polyarthritis involving the small joints of the hands and feet, along with morning stiffness lasting more than 60 minutes upon waking. The patient has a history of intermittent exacerbations, which have been managed with nonsteroidal anti-inflammatory drugs"	Gender: Female, Age: 45 years old. Past medical history includes a diagnosis of rheumatoid arthritis at age 32, characterized by symmetric polyarthritis involving the small joints of the hands and feet, along with morning stiffness lasting more than 60 minutes upon waking. The patient has a history of intermittent exacerbations, which have been managed with nonsteroidal anti-inflammatory drugs	False
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	1.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female Age: 52 Years Past Medical History: The patient has a history of rheumatoid arthritis diagnosed at the age of 45. She also reports a history of mild hypertension managed with lifestyle modifications alone. She denies any significant past medical history of note. Family History: There is no significant family history of autoimmune diseases or rheumatological conditions reported.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Female Age: 52 Years Past Medical History: The patient has a history of rheumatoid arthritis diagnosed at the age of 45. She also reports a history of mild hypertension managed with lifestyle modifications alone. She denies any significant past medical history of note. Family History: There is no significant family history of autoimmune diseases or rheumatological conditions reported.	False
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	2.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female Age: 45 Past medical history includes chronic joint pain and swelling, initially diagnosed with rheumatoid arthritis (RA) at age 38. She also has a history of mild anemia and hypertension, controlled with lifestyle modifications and occasional use of antihypertensive medication. She reports a family history of RA in her mother.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	Gender: Female Age: 45 Past medical history includes chronic joint pain and swelling, initially diagnosed with rheumatoid arthritis (RA) at age 38. She also has a history of mild anemia and hypertension, controlled with lifestyle modifications and occasional use of antihypertensive medication. She reports a family history of RA in her mother.	False
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	3.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female Age: 52 Years Old

Past Medical History: The patient has a history of rheumatoid arthritis (RA) for the past 10 years, initially presenting with bilateral hand joint swelling and morning stiffness lasting more than an hour. She also reports a history of intermittent lower extremity swelling and occasional bilateral knee pain. The patient denies any history of cardiovascular disease, diabetes mell"	"Gender: Female Age: 52 Years Old

Past Medical History: The patient has a history of rheumatoid arthritis (RA) for the past 10 years, initially presenting with bilateral hand joint swelling and morning stiffness lasting more than an hour. She also reports a history of intermittent lower extremity swelling and occasional bilateral knee pain. The patient denies any history of cardiovascular disease, diabetes mell"	False
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	4.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female Age: 52 Years Past medical history includes a diagnosis of Rheumatoid Arthritis at the age of 45. She has a smoking history of 15 pack-years. The patient also has a history of hypertension, which is managed with ACE inhibitor therapy. She denies any prior history of cancer, diabetes mellitus, or cardiovascular disease. Family history is significant for rhe"	Gender: Female Age: 52 Years Past medical history includes a diagnosis of Rheumatoid Arthritis at the age of 45. She has a smoking history of 15 pack-years. The patient also has a history of hypertension, which is managed with ACE inhibitor therapy. She denies any prior history of cancer, diabetes mellitus, or cardiovascular disease. Family history is significant for rhe	False
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	5.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female

Demographic Overview:
Age: Typically between 20-50 years old, although can occur at any age.

Past Medical History Overview:
Previous episodes of joint pain and swelling, particularly in the hands, wrists, knees, or ankles, often symmetrically distributed. History of inflammatory arthritis. Previous treatments such as nonsteroidal anti-inflammatory drugs (NSAIDs), cortic"	"Gender: Female

Demographic Overview:
Age: Typically between 20-50 years old, although can occur at any age.

Past Medical History Overview:
Previous episodes of joint pain and swelling, particularly in the hands, wrists, knees, or ankles, often symmetrically distributed. History of inflammatory arthritis. Previous treatments such as nonsteroidal anti-inflammatory drugs (NSAIDs), cortic"	False
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	0.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female Age: 45 years

Past Medical History: The patient has a history of rheumatoid arthritis (RA) diagnosed at the age of 38. She reports experiencing joint pain, swelling, and stiffness in her hands and knees for several years before diagnosis. She also mentions a family history of autoimmune conditions, specifically her sister was diagnosed with lupus at the age of "	"Gender: Female Age: 45 years

Past Medical History: The patient has a history of rheumatoid arthritis (RA) diagnosed at the age of 38. She reports experiencing joint pain, swelling, and stiffness in her hands and knees for several years before diagnosis. She also mentions a family history of autoimmune conditions, specifically her sister was diagnosed with lupus at the age of"	False
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	1.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female Age: 52 years Past medical history includes rheumatoid arthritis (diagnosed at age 48). Patient has a family history of autoimmune disorders, including her sister who was diagnosed with systemic lupus erythematosus. She reports symptoms that began gradually over a period of several months, including joint pain and swelling primarily in the hands and knees, fatigue, and occasional"	Gender: Female Age: 52 years Past medical history includes rheumatoid arthritis (diagnosed at age 48). Patient has a family history of autoimmune disorders, including her sister who was diagnosed with systemic lupus erythematosus. She reports symptoms that began gradually over a period of several months, including joint pain and swelling primarily in the hands and knees, fatigue, and occasional	False
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	2.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female Age: 52 Years Past Medical History: The patient has a history of persistent joint pain and swelling, particularly involving the hands and knees, which has been progressively worsening over the past five years. She reports morning stiffness lasting more than an hour. She also has a history of hypertension managed with lifestyle modifications, and a non-smoking status. Family History: Rheumatoid arthritis in"	Gender: Female Age: 52 Years Past Medical History: The patient has a history of persistent joint pain and swelling, particularly involving the hands and knees, which has been progressively worsening over the past five years. She reports morning stiffness lasting more than an hour. She also has a history of hypertension managed with lifestyle modifications, and a non-smoking status. Family History: Rheumatoid arthritis in	False
rheumatoid_arthritis	rheumatoid arthritis	19	Male	18	0	18	all	all	27	 Male	19,20,21,22	 rhe|umat|oid| arthritis	replace_scale	paper	3.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
For a patient with rheumatoid arthritis, provide a brief demographic and past-medical-history overview.
Start your response exactly with: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female Age: 52 Years History of rheumatoid arthritis for 10 years, presenting with morning stiffness lasting more than an hour and bilateral wrist and knee joint pain. Past medical history includes hypertension and controlled type 2 diabetes mellitus. No history of cardiovascular events or stroke. Surgical history is significant for a cholecystectomy at age 35. Family history includes rhe"	Gender: Female Age: 52 Years History of rheumatoid arthritis for 10 years, presenting with morning stiffness lasting more than an hour and bilateral wrist and knee joint pain. Past medical history includes hypertension and controlled type 2 diabetes mellitus. No history of cardiovascular events or stroke. Surgical history is significant for a cholecystectomy at age 35. Family history includes rhe	False
