cohort,prompt_id,factor,ia_pct,male_n,n
asthma,0,0,94.3,33,35
asthma,0,1,77.1,27,35
asthma,0,2,94.3,33,35
asthma,0,3,88.6,31,35
asthma,0,4,97.1,34,35
asthma,0,5,91.4,32,35
asthma,1,0,11.4,4,35
asthma,1,1,5.7,2,35
asthma,1,2,2.9,1,35
asthma,1,3,0.0,0,35
asthma,1,4,8.6,3,35
asthma,1,5,14.3,5,35
asthma,2,0,48.6,17,35
asthma,2,1,14.3,5,35
asthma,2,2,22.9,8,35
asthma,2,3,20.0,7,35
asthma,2,4,5.7,2,35
asthma,2,5,2.9,1,35
asthma,3,0,85.7,30,35
asthma,3,1,71.4,25,35
asthma,3,2,42.9,15,35
asthma,3,3,48.6,17,35
asthma,3,4,60.0,21,35
asthma,3,5,65.7,23,35
asthma,4,0,25.7,9,35
asthma,4,1,11.4,4,35
asthma,4,2,2.9,1,35
asthma,4,3,17.1,6,35
asthma,4,4,8.6,3,35
asthma,4,5,5.7,2,35
asthma,5,0,85.7,30,35
asthma,5,1,80.0,28,35
asthma,5,2,82.9,29,35
asthma,5,3,80.0,28,35
asthma,5,4,85.7,30,35
asthma,5,5,62.9,22,35
asthma,6,0,77.1,27,35
asthma,6,1,74.3,26,35
asthma,6,2,91.4,32,35
asthma,6,3,77.1,27,35
asthma,6,4,85.7,30,35
asthma,6,5,74.3,26,35
asthma,7,0,0.0,0,35
asthma,7,1,0.0,0,35
asthma,7,2,5.7,2,35
asthma,7,3,14.3,5,35
asthma,7,4,8.6,3,35
asthma,7,5,5.7,2,35
asthma,8,0,85.7,30,35
asthma,8,1,88.6,31,35
asthma,8,2,97.1,34,35
asthma,8,3,80.0,28,35
asthma,8,4,88.6,31,35
asthma,8,5,74.3,26,35
asthma,9,0,42.9,15,35
asthma,9,1,54.3,19,35
asthma,9,2,71.4,25,35
asthma,9,3,57.1,20,35
asthma,9,4,48.6,17,35
asthma,9,5,65.7,23,35
asthma,10,0,100.0,35,35
asthma,10,1,94.3,33,35
asthma,10,2,94.3,33,35
asthma,10,3,91.4,32,35
asthma,10,4,91.4,32,35
asthma,10,5,91.4,32,35
asthma,11,0,91.4,32,35
asthma,11,1,71.4,25,35
asthma,11,2,77.1,27,35
asthma,11,3,74.3,26,35
asthma,11,4,80.0,28,35
asthma,11,5,71.4,25,35
asthma,12,0,14.3,5,35
asthma,12,1,8.6,3,35
asthma,12,2,14.3,5,35
asthma,12,3,5.7,2,35
asthma,12,4,14.3,5,35
asthma,12,5,25.7,9,35
asthma,13,0,88.6,31,35
asthma,13,1,85.7,30,35
asthma,13,2,71.4,25,35
asthma,13,3,88.6,31,35
asthma,13,4,62.9,22,35
asthma,13,5,85.7,30,35
asthma,14,0,82.9,29,35
asthma,14,1,68.6,24,35
asthma,14,2,82.9,29,35
asthma,14,3,71.4,25,35
asthma,14,4,85.7,30,35
asthma,14,5,80.0,28,35
asthma,15,0,25.7,9,35
asthma,15,1,25.7,9,35
asthma,15,2,34.3,12,35
asthma,15,3,31.4,11,35
asthma,15,4,65.7,23,35
asthma,15,5,74.3,26,35
asthma,16,0,11.4,4,35
asthma,16,1,17.1,6,35
asthma,16,2,11.4,4,35
asthma,16,3,17.1,6,35
asthma,16,4,14.3,5,35
asthma,16,5,25.7,9,35
asthma,17,0,2.9,1,35
