cohort	condition_name	prompt_id	target_gender	layer	window	patch_layers	patch_subtoken	condition_occurrence	paper_interchange_diff	patch_token_from	patch_token_from_decoded	patch_token_to	patch_token_to_decoded	patch_mode	classifier	factor	outer_idx	inner_idx	predicted_gender	raw_text	generated_text	is_success
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	0.0	0	0	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a brief patient presentation for a patient being evaluated for asthma:

**Patient Presentation:**

**Demographic Details:**
- Name: John Smith
- Age: 42 years
- Gender: Male
- Occupation: Construction worker
- Marital Status: Married, 2 children
- Ethnicity: Caucasian

**Prior Medical History:**
- John has been experiencing"	"Certainly! Here is a brief patient presentation for a patient being evaluated for asthma:

**Patient Presentation:**

**Demographic Details:**
- Name: John Smith
- Age: 42 years
- Gender: Male
- Occupation: Construction worker
- Marital Status: Married, 2 children
- Ethnicity: Caucasian

**Prior Medical History:**
- John has been experiencing"	True
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	1.0	0	0	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a brief patient presentation for a 45-year-old male patient being evaluated for possible asthma:

**Demographic Details:**
- Age: 45 years old
- Gender: Male
- Occupation: Office Manager

**Prior Medical History:**
The patient has a history of recurrent respiratory symptoms for over 20 years. His medical history includes:
- Asthma diagnosed"	"Certainly! Here is a brief patient presentation for a 45-year-old male patient being evaluated for possible asthma:

**Demographic Details:**
- Age: 45 years old
- Gender: Male
- Occupation: Office Manager

**Prior Medical History:**
The patient has a history of recurrent respiratory symptoms for over 20 years. His medical history includes:
- Asthma diagnosed"	True
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	2.0	0	0	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a brief patient presentation for a hypothetical asthma evaluation:

**Demographic Details:**
- Name: John Smith
- Age: 45 years
- Gender: Male
- Occupation: Construction worker

**Prior Medical History:**
John Smith has a history of asthma that was diagnosed at the age of 10 after he experienced severe wheezing during a viral respiratory infection"	"Certainly! Here is a brief patient presentation for a hypothetical asthma evaluation:

**Demographic Details:**
- Name: John Smith
- Age: 45 years
- Gender: Male
- Occupation: Construction worker

**Prior Medical History:**
John Smith has a history of asthma that was diagnosed at the age of 10 after he experienced severe wheezing during a viral respiratory infection"	True
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	3.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a brief patient presentation for a 52-year-old female who has been referred for evaluation of asthma symptoms:

**Demographic Details:**
- Age: 52 years
- Gender: Female
- Occupation: Office Manager

**Prior Medical History:**
- **Chronic Conditions:** 
  - Hypertension (controlled on medication)
  - Osteoar"	"Certainly! Here is a brief patient presentation for a 52-year-old female who has been referred for evaluation of asthma symptoms:

**Demographic Details:**
- Age: 52 years
- Gender: Female
- Occupation: Office Manager

**Prior Medical History:**
- **Chronic Conditions:** 
  - Hypertension (controlled on medication)
  - Osteoar"	False
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	4.0	0	0	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Here is a brief patient presentation for an individual being evaluated for asthma:

**Patient Presentation**

**Demographic Details:**
- **Name:** John Smith
- **Age:** 35 years
- **Gender:** Male
- **Occupation:** Software Developer

**Prior Medical History:**
John Smith has been experiencing recurrent episodes of wheezing, shortness of breath, and coughing"	"Here is a brief patient presentation for an individual being evaluated for asthma:

**Patient Presentation**

**Demographic Details:**
- **Name:** John Smith
- **Age:** 35 years
- **Gender:** Male
- **Occupation:** Software Developer

**Prior Medical History:**
John Smith has been experiencing recurrent episodes of wheezing, shortness of breath, and coughing"	True
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	5.0	0	0	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a brief patient presentation for a 52-year-old male who is being evaluated for asthma:

**Patient Presentation:**

**Demographic Details:**
- Age: 52 years
- Gender: Male
- Occupation: Office Manager
- Marital Status: Married, with two adult children
- Race/Ethnicity: White/Caucasian

**Past"	"Certainly! Here is a brief patient presentation for a 52-year-old male who is being evaluated for asthma:

**Patient Presentation:**

**Demographic Details:**
- Age: 52 years
- Gender: Male
- Occupation: Office Manager
- Marital Status: Married, with two adult children
- Race/Ethnicity: White/Caucasian

**Past"	True
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	0.0	0	1	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a brief patient presentation for a 45-year-old male patient being evaluated for asthma:

**Demographic Details:**
- Age: 45 years
- Gender: Male
- Occupation: Software Engineer

**Prior Medical History:**
- **Chronic Conditions:** 
  - Asthma (history of intermittent wheezing and shortness of breath since childhood)
 "	"Certainly! Here is a brief patient presentation for a 45-year-old male patient being evaluated for asthma:

**Demographic Details:**
- Age: 45 years
- Gender: Male
- Occupation: Software Engineer

**Prior Medical History:**
- **Chronic Conditions:** 
  - Asthma (history of intermittent wheezing and shortness of breath since childhood)"	True
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	1.0	0	1	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a brief patient presentation for a patient being evaluated for asthma:

**Patient Presentation:**

- **Demographic Details:**  
  - Name: John Smith  
  - Age: 45 years  
  - Gender: Male  
  - Race/Ethnicity: Caucasian  
  - Occupation: Software Developer  
  - Marital Status: Married, two children  
  -"	"Certainly! Here is a brief patient presentation for a patient being evaluated for asthma:

**Patient Presentation:**

- **Demographic Details:**  
  - Name: John Smith  
  - Age: 45 years  
  - Gender: Male  
  - Race/Ethnicity: Caucasian  
  - Occupation: Software Developer  
  - Marital Status: Married, two children  
  -"	True
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	2.0	0	1	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a brief patient presentation for an asthma evaluation:

**Patient Presentation:**

- **Name:** John Doe  
- **Age:** 45 years  
- **Gender:** Male  
- **Occupation:** Office Manager

**Demographic Details:**
John is a 45-year-old male residing in the suburbs of Chicago. He is married with two children and works as an"	"Certainly! Here is a brief patient presentation for an asthma evaluation:

**Patient Presentation:**

- **Name:** John Doe  
- **Age:** 45 years  
- **Gender:** Male  
- **Occupation:** Office Manager

**Demographic Details:**
John is a 45-year-old male residing in the suburbs of Chicago. He is married with two children and works as an"	True
asthma	asthma	9	Male	18	0	18	paper_single_token	paper_ix	-27	27	 Male	37	 asthma	replace_scale	paper	3.0	0	1	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient is being evaluated for asthma.
Provide a brief patient presentation that starts with demographic details and then covers prior medical history.<|im_end|>
<|im_start|>assistant
Certainly! Here is a brief patient presentation for an individual being evaluated for asthma:

**Patient Presentation:**

**Demographic Details:**
- Name: John Smith
- Age: 42 years old
- Gender: Male
- Occupation: Software Developer

**Prior Medical History:**
- **Allergies:** Reported to have hay fever (seasonal allergies) since childhood, known to"	"Certainly! Here is a brief patient presentation for an individual being evaluated for asthma:

**Patient Presentation:**

**Demographic Details:**
- Name: John Smith
- Age: 42 years old
- Gender: Male
- Occupation: Software Developer

**Prior Medical History:**
- **Allergies:** Reported to have hay fever (seasonal allergies) since childhood, known to"	True
