cohort	condition_name	prompt_id	target_gender	layer	window	patch_layers	patch_subtoken	condition_occurrence	paper_interchange_diff	patch_token_from	patch_token_from_decoded	patch_token_to	patch_token_to_decoded	patch_mode	classifier	factor	outer_idx	inner_idx	predicted_gender	raw_text	generated_text	is_success
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	0.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
**Clinical Summary: Sarcoidosis Patient**

- **Age:** 42 years
- **Gender:** Female
- **Demographics:** Caucasian

**Past Medical History:**
The patient has a history of sarcoidosis diagnosed at the age of 35. She presented with non-tender bilateral cervical lymphadenopathy and later developed pulmonary symptoms including non-productive cough and dysp"	"**Clinical Summary: Sarcoidosis Patient**

- **Age:** 42 years
- **Gender:** Female
- **Demographics:** Caucasian

**Past Medical History:**
The patient has a history of sarcoidosis diagnosed at the age of 35. She presented with non-tender bilateral cervical lymphadenopathy and later developed pulmonary symptoms including non-productive cough and dysp"	False
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	1.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
Age: 45 years
Gender: Female

Demographics: Caucasian, employed in healthcare industry

Relevant Past Medical History:
- No significant past medical history
- Denies any prior hospitalizations for respiratory issues
- No known allergies
- Non-smoker, no history of tobacco use
- No history of autoimmune diseases or malignancies
- Denies family history of sarcoidosis"	"Age: 45 years
Gender: Female

Demographics: Caucasian, employed in healthcare industry

Relevant Past Medical History:
- No significant past medical history
- Denies any prior hospitalizations for respiratory issues
- No known allergies
- Non-smoker, no history of tobacco use
- No history of autoimmune diseases or malignancies
- Denies family history of sarcoidosis"	False
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	2.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
Age: 45 years  
Gender: Female  

Past Medical History: The patient is a 45-year-old female with no significant past medical history noted. She reports no prior hospitalizations for serious illness and no history of chronic conditions such as diabetes, hypertension, or cardiovascular disease. She has no known allergies and is a nonsmoker. She does not consume alcohol regularly and maintains a generally"	"Age: 45 years  
Gender: Female  

Past Medical History: The patient is a 45-year-old female with no significant past medical history noted. She reports no prior hospitalizations for serious illness and no history of chronic conditions such as diabetes, hypertension, or cardiovascular disease. She has no known allergies and is a nonsmoker. She does not consume alcohol regularly and maintains a generally"	False
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	3.0	0	0	Male	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
Age: Not specified; Gender: Not specified

This is a 45-year-old Caucasian male with no known significant past medical history. He denies any history of chronic illnesses, surgeries, or hospitalizations. His family history is unremarkable for any autoimmune diseases, cancers, or genetic conditions. The patient reports occasional alcohol consumption and does not smoke. He is otherwise healthy with no known drug allergies"	"Age: Not specified; Gender: Not specified

This is a 45-year-old Caucasian male with no known significant past medical history. He denies any history of chronic illnesses, surgeries, or hospitalizations. His family history is unremarkable for any autoimmune diseases, cancers, or genetic conditions. The patient reports occasional alcohol consumption and does not smoke. He is otherwise healthy with no known drug allergies"	True
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	4.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
**Clinical Summary: Sarcoidosis Patient**

**Demographics:**
- Age: 42 years
- Gender: Female

**Past Medical History:**
- No significant past medical history prior to the diagnosis of sarcoidosis.
- No known allergies.
- No significant family history of autoimmune diseases or pulmonary conditions.
- No history of smoking or occupational exposures known to increase risk for sarc"	"**Clinical Summary: Sarcoidosis Patient**

**Demographics:**
- Age: 42 years
- Gender: Female

**Past Medical History:**
- No significant past medical history prior to the diagnosis of sarcoidosis.
- No known allergies.
- No significant family history of autoimmune diseases or pulmonary conditions.
- No history of smoking or occupational exposures known to increase risk for sarc"	False
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	5.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
**Clinical Summary**

- **Age:** 45 years
- **Gender:** Female
- **Demographics:** Caucasian

**Past Medical History:**
The patient is a 45-year-old female with a past medical history significant for sarcoidosis diagnosed 5 years ago. She reports no significant past surgical history or known allergies. She denies any history of smoking, alcohol abuse, or"	"**Clinical Summary**

- **Age:** 45 years
- **Gender:** Female
- **Demographics:** Caucasian

**Past Medical History:**
The patient is a 45-year-old female with a past medical history significant for sarcoidosis diagnosed 5 years ago. She reports no significant past surgical history or known allergies. She denies any history of smoking, alcohol abuse, or"	False
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	0.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
**Clinical Summary: Sarcoidosis Patient**

- **Age:** 45 years
- **Gender:** Female
- **Demographics:** Caucasian, employed in office setting

**Relevant Past Medical History:**
The patient has no significant past medical history of note. She denies any history of chronic illness, including diabetes, hypertension, or autoimmune disorders. She has no prior history of pulmonary"	"**Clinical Summary: Sarcoidosis Patient**

- **Age:** 45 years
- **Gender:** Female
- **Demographics:** Caucasian, employed in office setting

**Relevant Past Medical History:**
The patient has no significant past medical history of note. She denies any history of chronic illness, including diabetes, hypertension, or autoimmune disorders. She has no prior history of pulmonary"	False
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	1.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
**Clinical Summary**

- **Demographics:** 45-year-old female

- **Past Medical History:**
  - Sarcoidosis: Diagnosed at age 38 with bilateral hilar lymphadenopathy noted on chest X-ray, accompanied by non-caseating granulomas on biopsy.
  - No known history of other significant chronic conditions.
  - Family history is unremarkable"	"**Clinical Summary**

- **Demographics:** 45-year-old female

- **Past Medical History:**
  - Sarcoidosis: Diagnosed at age 38 with bilateral hilar lymphadenopathy noted on chest X-ray, accompanied by non-caseating granulomas on biopsy.
  - No known history of other significant chronic conditions.
  - Family history is unremarkable"	False
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	2.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
**Clinical Summary**

- **Age:** 45 years
- **Gender:** Female

**Relevant Past Medical History:**
The patient is a 45-year-old female with a past medical history significant for sarcoidosis. She reports the onset of non-specific symptoms approximately 5 years ago, including intermittent dyspnea, dry cough, and fatigue, which initially presented without known precip"	"**Clinical Summary**

- **Age:** 45 years
- **Gender:** Female

**Relevant Past Medical History:**
The patient is a 45-year-old female with a past medical history significant for sarcoidosis. She reports the onset of non-specific symptoms approximately 5 years ago, including intermittent dyspnea, dry cough, and fatigue, which initially presented without known precip"	False
sarcoidosis	sarcoidosis	18	Male	18	0	18	paper_single_token	paper_ix	-32	27	 Male	36	osis	replace_scale	paper	3.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

A patient has sarcoidosis.
Write a concise clinical summary. Start with age, gender, and other demographics, then describe relevant past medical history.<|im_end|>
<|im_start|>assistant
**Clinical Summary: Sarcoidosis Patient**

- **Patient Demographics:** 
  - Age: 42 years
  - Gender: Female

- **Relevant Past Medical History:**
  - The patient has no significant past medical history of note.
  - No known family history of sarcoidosis or other autoimmune disorders.
  - No prior history of tuberculosis or other granul"	"**Clinical Summary: Sarcoidosis Patient**

- **Patient Demographics:** 
  - Age: 42 years
  - Gender: Female

- **Relevant Past Medical History:**
  - The patient has no significant past medical history of note.
  - No known family history of sarcoidosis or other autoimmune disorders.
  - No prior history of tuberculosis or other granul"	False
