intervention_scope,layer,feature_idx,gate_sign,token_identity,n_hits,n_conditions,mean_norm_effect,neutralized_hits,inverted_hits
local_token,3,84633,positive,<blank>,50,5,0.5738247691123365,7,7
local_token,19,126496,positive,<blank>,50,5,0.2794787855207526,4,1
local_token,11,112606,positive,<blank>,50,5,0.1896224682394347,2,1
local_token,25,23584,positive,wrap,30,5,0.18493793982252965,1,0
local_token,12,23848,positive,concise,15,5,0.18000792129470702,1,0
local_token,18,12895,positive,concise,15,5,0.172953271694305,1,0
local_token,23,91857,positive,<blank>,50,5,0.1693048858143883,1,0
local_token,4,15523,positive,<|im_start|>,50,5,0.1585235167728411,2,0
local_token,25,17418,positive,Cloud,50,5,0.1573057327795281,1,0
local_token,25,3008,positive,Do,46,5,0.14862018528375956,1,0
local_token,25,23584,positive,thinking,12,5,0.13365119018509403,1,0
local_token,25,23584,positive,presentation,40,5,0.12469359076832291,1,0
