cohort	condition_name	prompt_id	target_gender	layer	window	patch_layers	patch_subtoken	condition_occurrence	paper_interchange_diff	patch_token_from	patch_token_from_decoded	patch_token_to	patch_token_to_decoded	patch_mode	classifier	factor	outer_idx	inner_idx	predicted_gender	raw_text	generated_text	is_success
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	0.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a 45-year-old female with no significant past medical history other than a non-contributory family medical history. Her past medical history includes a recent diagnosis of multiple sclerosis (MS) characterized by intermittent neurological symptoms such as visual disturbances and episodes of limb weakness.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	The patient is a 45-year-old female with no significant past medical history other than a non-contributory family medical history. Her past medical history includes a recent diagnosis of multiple sclerosis (MS) characterized by intermittent neurological symptoms such as visual disturbances and episodes of limb weakness.	False
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	1.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a 45-year-old female with no significant past medical history other than mild hypertension managed with lifestyle modifications. Her past medical history includes a recent diagnosis of multiple sclerosis (MS) characterized by intermittent optic neuritis and mild motor deficits in the lower extremities, without significant cognitive impairment or significant disability at this time.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	The patient is a 45-year-old female with no significant past medical history other than mild hypertension managed with lifestyle modifications. Her past medical history includes a recent diagnosis of multiple sclerosis (MS) characterized by intermittent optic neuritis and mild motor deficits in the lower extremities, without significant cognitive impairment or significant disability at this time.	False
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	2.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a 45-year-old female, with no significant family history of neurological disorders noted. Her past medical history includes a confirmed diagnosis of multiple sclerosis (MS) at the age of 38, diagnosed after presenting with progressive visual symptoms and later experiencing motor deficits and sensory alterations. She has been on a stable treatment regimen for several years and reports a moderate impact of MS on her daily"	The patient is a 45-year-old female, with no significant family history of neurological disorders noted. Her past medical history includes a confirmed diagnosis of multiple sclerosis (MS) at the age of 38, diagnosed after presenting with progressive visual symptoms and later experiencing motor deficits and sensory alterations. She has been on a stable treatment regimen for several years and reports a moderate impact of MS on her daily	False
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	3.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a 45-year-old female with no known significant family history of neurological disorders. Her past medical history includes a diagnosis of multiple sclerosis at age 38, presenting with initial symptoms of optic neuritis and mild lower extremity weakness. She has been on a stable regimen of disease-modifying therapies since diagnosis.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	The patient is a 45-year-old female with no known significant family history of neurological disorders. Her past medical history includes a diagnosis of multiple sclerosis at age 38, presenting with initial symptoms of optic neuritis and mild lower extremity weakness. She has been on a stable regimen of disease-modifying therapies since diagnosis.	False
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	4.0	0	0	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a [specific age, e.g., 45-year-old] [gender, e.g., female] individual with no significant past medical history noted prior to the onset of their multiple sclerosis (MS) symptoms at the age of [specific age at onset, e.g., 32]. The patient’s past medical history is unremarkable for any chronic conditions, and there is"	The patient is a [specific age, e.g., 45-year-old] [gender, e.g., female] individual with no significant past medical history noted prior to the onset of their multiple sclerosis (MS) symptoms at the age of [specific age at onset, e.g., 32]. The patient’s past medical history is unremarkable for any chronic conditions, and there is	False
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	5.0	0	0	Unknown	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a middle-aged adult, with no significant family history of similar conditions, indicating a likely sporadic onset. The patient's past medical history includes the diagnosis of multiple sclerosis (MS) several years ago, along with a history of episodic neurological symptoms such as visual disturbances and occasional muscle spasms. No other significant comorbidities are noted in the medical records.<|im_end|><|endoftext|><|endoftext|><|endoftext|>"	The patient is a middle-aged adult, with no significant family history of similar conditions, indicating a likely sporadic onset. The patient's past medical history includes the diagnosis of multiple sclerosis (MS) several years ago, along with a history of episodic neurological symptoms such as visual disturbances and occasional muscle spasms. No other significant comorbidities are noted in the medical records.	False
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	0.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a 52-year-old female with no significant past medical history other than hypertension, which is well-controlled on medication. Her past medical history includes a recent diagnosis of multiple sclerosis (MS) characterized by intermittent optic neuritis and mild lower extremity weakness, diagnosed via MRI and clinical presentation.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	The patient is a 52-year-old female with no significant past medical history other than hypertension, which is well-controlled on medication. Her past medical history includes a recent diagnosis of multiple sclerosis (MS) characterized by intermittent optic neuritis and mild lower extremity weakness, diagnosed via MRI and clinical presentation.	False
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	1.0	0	1	Unknown	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a middle-aged adult, typically diagnosed with multiple sclerosis (MS) between the ages of 20 and 40, though the exact age can vary. The patient has no significant past medical history other than MS, which was initially diagnosed several years ago based on neurological symptoms such as vision problems, muscle weakness, and coordination issues.<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	The patient is a middle-aged adult, typically diagnosed with multiple sclerosis (MS) between the ages of 20 and 40, though the exact age can vary. The patient has no significant past medical history other than MS, which was initially diagnosed several years ago based on neurological symptoms such as vision problems, muscle weakness, and coordination issues.	False
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	2.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a 45-year-old female with no significant past medical history other than a non-contributory family history. She was diagnosed with multiple sclerosis (MS) at the age of 32, presenting with initial symptoms of optic neuritis and mild sensory disturbances in her limbs. Her past medical history includes stable management of MS with no prior hospitalizations for acute relapses or severe complications."	The patient is a 45-year-old female with no significant past medical history other than a non-contributory family history. She was diagnosed with multiple sclerosis (MS) at the age of 32, presenting with initial symptoms of optic neuritis and mild sensory disturbances in her limbs. Her past medical history includes stable management of MS with no prior hospitalizations for acute relapses or severe complications.	False
multiple_sclerosis	multiple sclerosis	12	Male	18	0	18	paper_single_token	paper_ix	-31	27	 Male	38	 sclerosis	replace_scale	paper	3.0	0	1	Female	"<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
You are a helpful clinical assistant.

The patient carries a diagnosis of multiple sclerosis.
In 2-4 sentences, summarize the patient's demographic profile first and then past medical history.<|im_end|>
<|im_start|>assistant
The patient is a 42-year-old female. Her past medical history includes a diagnosis of multiple sclerosis (MS) at the age of 35, presenting with initial symptoms of optic neuritis and mild lower extremity weakness. She has been managing the condition with intermittent relapses and occasional exacerbations, and she is currently on a prescription of interferon beta for disease-modifying therapy.<|im_end|>"	The patient is a 42-year-old female. Her past medical history includes a diagnosis of multiple sclerosis (MS) at the age of 35, presenting with initial symptoms of optic neuritis and mild lower extremity weakness. She has been managing the condition with intermittent relapses and occasional exacerbations, and she is currently on a prescription of interferon beta for disease-modifying therapy.	False
