artifact,cohort,prompt_id,condition_name,score_key,layer,condition_token_indices,condition_token_labels,condition_token_mean,condition_token_max,full_token_max,full_token_topk_mean,full_token_mean
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,0,[13],"["" asthma_13""]",1.0,1.0,1.0,0.996875,0.7046298763155937
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,1,[13],"["" asthma_13""]",1.6391277313232422e-06,1.6391277313232422e-06,2.872943878173828e-05,5.648533503214518e-06,1.4093518257141113e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,2,[13],"["" asthma_13""]",7.748603820800781e-07,7.748603820800781e-07,2.2649765014648438e-05,5.034605662027995e-06,1.0460615158081055e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,3,[13],"["" asthma_13""]",4.976987838745117e-06,4.976987838745117e-06,3.314018249511719e-05,4.911422729492188e-06,1.1447072029113769e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,4,[13],"["" asthma_13""]",3.886222839355469e-05,3.886222839355469e-05,3.886222839355469e-05,6.842613220214844e-06,1.9106268882751465e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,5,[13],"["" asthma_13""]",-2.2202730178833008e-06,-2.2202730178833008e-06,6.29425048828125e-05,8.914868036905924e-06,2.7167797088623046e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,6,[13],"["" asthma_13""]",-2.9653310775756836e-06,-2.9653310775756836e-06,0.00054931640625,4.2090813318888344e-05,1.265883445739746e-05
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,7,[13],"["" asthma_13""]",7.063150405883789e-06,7.063150405883789e-06,7.677078247070312e-05,1.5169382095336914e-05,4.4593214988708495e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,8,[13],"["" asthma_13""]",2.7060508728027344e-05,2.7060508728027344e-05,8.726119995117188e-05,2.0577510197957358e-05,6.1318278312683105e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,9,[13],"["" asthma_13""]",1.6808509826660156e-05,1.6808509826660156e-05,2.288818359375e-05,8.579095204671224e-06,2.5349855422973633e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,10,[13],"["" asthma_13""]",3.123283386230469e-05,3.123283386230469e-05,5.435943603515625e-05,9.00427500406901e-06,2.898275852203369e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,11,[13],"["" asthma_13""]",0.00011587142944335938,0.00011587142944335938,0.00011587142944335938,1.6053517659505207e-05,4.311800003051758e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,12,[13],"["" asthma_13""]",-4.470348358154297e-06,-4.470348358154297e-06,4.38690185546875e-05,9.570519129435221e-06,2.6232004165649413e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,13,[13],"["" asthma_13""]",-9.5367431640625e-07,-9.5367431640625e-07,0.00010633468627929688,1.0174512863159179e-05,2.7295947074890138e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,14,[13],"["" asthma_13""]",-4.708766937255859e-06,-4.708766937255859e-06,2.0742416381835938e-05,5.020697911580404e-06,1.3893842697143554e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,15,[13],"["" asthma_13""]",2.115964889526367e-06,2.115964889526367e-06,3.8623809814453125e-05,8.747975031534832e-06,2.82973051071167e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,16,[13],"["" asthma_13""]",-3.56137752532959e-06,-3.56137752532959e-06,0.00014781951904296875,1.4136234919230143e-05,4.2051076889038084e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,17,[13],"["" asthma_13""]",9.775161743164062e-06,9.775161743164062e-06,1.0728836059570312e-05,4.190206527709961e-06,1.436769962310791e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,18,[13],"["" asthma_13""]",0.98046875,0.98046875,0.98046875,0.07516517837842306,0.02255078673362732
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,19,[13],"["" asthma_13""]",-4.589557647705078e-06,-4.589557647705078e-06,0.000492095947265625,4.356702168782552e-05,1.3099312782287598e-05
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,20,[13],"["" asthma_13""]",-5.155801773071289e-06,-5.155801773071289e-06,0.005615234375,0.00037727157274882,0.00011322438716888427
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,21,[13],"["" asthma_13""]",0.009033203125,0.009033203125,0.0390625,0.003220530351003011,0.0009664574265480042
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,22,[13],"["" asthma_13""]",-5.4836273193359375e-06,-5.4836273193359375e-06,0.00145721435546875,9.779532750447591e-05,2.8375089168548584e-05
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,23,[13],"["" asthma_13""]",-5.4836273193359375e-06,-5.4836273193359375e-06,6.3478946685791016e-06,1.2894471486409505e-06,-4.51505184173584e-07
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,24,[13],"["" asthma_13""]",6.3478946685791016e-06,6.3478946685791016e-06,0.0014801025390625,0.00010130206743876139,3.0359923839569093e-05
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,25,[13],"["" asthma_13""]",0.0001506805419921875,0.0001506805419921875,0.00087738037109375,7.037917772928874e-05,2.113819122314453e-05
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,26,[13],"["" asthma_13""]",-4.649162292480469e-06,-4.649162292480469e-06,0.00958251953125,0.0006392518679300944,0.000191398561000824
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,27,[13],"["" asthma_13""]",3.725290298461914e-06,3.725290298461914e-06,0.000179290771484375,1.2946128845214843e-05,3.91155481338501e-06
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,28,[13],"["" asthma_13""]",-3.2782554626464844e-07,-3.2782554626464844e-07,0.0024261474609375,0.00016229351361592612,4.8689842224121093e-05
asthma_prompt1.pkl,asthma,1,asthma,rewrite_scores,29,[13],"["" asthma_13""]",7.748603820800781e-07,7.748603820800781e-07,0.03955078125,0.0026371320088704425,0.0007911109924316406
